1. Summary
Meeting title	Scrum Meeting
Attended participants	7
Start time	14/11/22, 09:29:07
End time	14/11/22, 09:50:14
Meeting duration	21m 7s
Average attendance time	18m 24s

2. Participants
Name	First join	Last leave	In-meeting duration	Email	Participant ID (UPN)	Role
JANSSENS JAN (EXT)	14/11/22, 09:30:46	14/11/22, 09:50:12	19m 26s	jan.janssens.ext@un.int	jan.janssens.ext@un.int	Organizer
Johnny Walker	14/11/22, 09:30:52	14/11/22, 09:50:12	19m 20s	Johnny.Walker@scotch.aero	Johnny.Walker@scotch.aero	Presenter
García Simón, Pedro	14/11/22, 09:30:52	14/11/22, 09:50:14	19m 21s	pgsimon@spain.es	pgsimon@spain.es	Presenter
Jacek Woityla	14/11/22, 09:30:52	14/11/22, 09:50:11	19m 18s	jacek@woityla.at	jacek@woityla.at	Presenter
Igor Landis	14/11/22, 09:31:19	14/11/22, 09:50:09	18m 50s	igor.3.lanis@sota.net	igor.3.lanis@sota.net	Presenter
Fred Primus	14/11/22, 09:32:28	14/11/22, 09:50:10	17m 41s	fredprimus@first.com	fredprimus@first.com	Presenter
De Compostela, Santiago	14/11/22, 09:35:21	14/11/22, 09:50:12	14m 50s	sdc@smallco.co.uk	sdc@smallco.co.uk	Presenter

3. In-Meeting activities
Name	Join time	Leave time	Duration	Email	Role
JANSSENS JAN (EXT)	14/11/22, 09:30:46	14/11/22, 09:50:12	19m 26s	jan.janssens.ext@un.int	Organizer
Johnny Walker	14/11/22, 09:30:52	14/11/22, 09:50:12	19m 20s	Johnny.Walker@scotch.aero	Presenter
García Simón, Pedro	14/11/22, 09:30:52	14/11/22, 09:50:14	19m 21s	pgsimon@spain.es	Presenter
Jacek Woityla	14/11/22, 09:30:52	14/11/22, 09:50:11	19m 18s	jacek@woityla.at	Presenter
Igor Landis	14/11/22, 09:31:19	14/11/22, 09:50:09	18m 50s	igor.3.lanis@sota.net	Presenter
Fred Primus	14/11/22, 09:32:28	14/11/22, 09:50:10	17m 41s	fredprimus@first.com	Presenter
De Compostela, Santiago	14/11/22, 09:35:21	14/11/22, 09:50:12	14m 50s	sdc@smallco.co.uk	Presenter
